"Reference(s)","Value","Qty","Part Number","Manufacturer","Description","Footprint","Datasheet"
"C1, C2, C4, C8, C11, C12, C14, C17","0.1u","8","CL05A104KP5NNNC","Samsung Electro-Mechanics","CAP CER 0.1UF 10V X5R 0402","JetkovKiCADLib:C_0402_NoSilk","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/08/17/Data%20sheet_CL05A104KP5NNNC.pdf",""
"C3, C9, C10, C15, C19, C23, C26","1u","7","CL05A105KP5NNNC","Samsung Electro-Mechanics","CAP CER 1UF 10V X5R 0402","JetkovKiCADLib:C_0402_NoSilk","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A105KP5NNNC_Spec.pdf",""
"C6, C7","12pF","2","CL05C120JB5NNNC","Samsung Electro-Mechanics","CAP CER 12PF 50V C0G/NP0 0402","JetkovKiCADLib:C_0402_NoSilk","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/12/14/Data%20sheet_CL05C120JB5NNNC.pdf",""
"C18, C20","10u","2","CL10A106MP8NNNC","Samsung Electro-Mechanics","CAP CER 10UF 10V X5R 0603","JetkovKiCADLib:C_0603","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf",""
"C21, C24","4.7u","2","CL05A475MP5NRNC","Samsung Electro-Mechanics","CAP CER 4.7UF 10V X5R 0402","JetkovKiCADLib:C_0402_NoSilk","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A475MP5NRNC_Char.pdf",""
"C22, C25","22u","2","GRM188R61A226ME15D","Murata Electronics","CAP CER 22UF 10V X5R 0603","JetkovKiCADLib:C_0603","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61A226ME15-01.pdf",""
"D1","GREEN","1","155124VS73200","Wurth Elektronik","LED GREEN CLEAR 1204 SMD R/A","JetkovKiCADLib:155124xx73200","https://katalog.we-online.de/led/datasheet/155124VS73200.pdf",""
"D2","YELLOW","1","155124YS73200","Wurth Elektronik","LED YELLOW CLEAR 1204 SMD R/A","JetkovKiCADLib:155124xx73200","https://katalog.we-online.de/led/datasheet/155124YS73200.pdf",""
"D3","RED","1","155124RS73200","Wurth Elektronik","LED RED CLEAR 1204 SMD R/A","JetkovKiCADLib:155124xx73200","https://katalog.we-online.de/led/datasheet/155124RS73200.pdf",""
"D4","D_Schottky","1","PMEG2010EA,135","Nexperia USA Inc.","DIODE SCHOTTKY 20V 1A SOD323","JetkovKiCADLib:PMEG2010EA","https://assets.nexperia.com/documents/data-sheet/PMEG2010EA.pdf",""
"D5, D6, D7","D_Schottky_ALT","3","NSPU3051N2T5G","ON Semiconductor","TVS DIODE 5.5V 9.5V 2X2DFN","JetkovKiCADLib:NSPU3051","http://www.onsemi.com/pub/Collateral/NSPU3051-D.PDF",""
